Date/Time	Elapsed Time	Pump 1 Flow (mL/min)	Pump 2 Flow (mL/min)	Pump 3 Flow (mL/min)	Pump 4 Flow (mL/min)	Coriolis Flow (mL/min)	Pump 1 Pressure (bar)	Pump 2 Pressure (bar)	Pump 3 Pressure (bar)	Pump 4 Pressure (bar)	UV detector 1 (mAU) 	UV detector 2 (mAU)
04/04/2023 16:22:51	00:00:48	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,68	0,00
04/04/2023 16:22:52	00:00:49	1,00	0,00	0,00	0,00	0,03	51,00	0,00	0,00	0,00	0,68	0,00
04/04/2023 16:22:53	00:00:50	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,70	0,00
04/04/2023 16:22:54	00:00:51	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,70	0,00
04/04/2023 16:22:55	00:00:52	1,00	0,00	0,00	0,00	0,03	54,00	0,00	0,00	0,00	0,65	0,00
04/04/2023 16:22:56	00:00:53	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,63	0,00
04/04/2023 16:22:57	00:00:54	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,57	0,00
04/04/2023 16:22:58	00:00:55	1,00	0,00	0,00	0,00	0,03	52,00	0,00	0,00	0,00	0,58	0,00
04/04/2023 16:22:59	00:00:56	1,00	0,00	0,00	0,00	0,03	54,00	0,00	1,00	0,00	0,35	0,00
04/04/2023 16:23:00	00:00:57	1,00	0,00	0,00	0,00	0,03	54,00	0,00	0,00	0,00	0,50	0,00
04/04/2023 16:23:01	00:00:58	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,48	0,00
04/04/2023 16:23:02	00:00:59	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,46	0,00
04/04/2023 16:23:03	00:01:00	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,31	0,00
04/04/2023 16:23:04	00:01:01	1,00	0,00	0,00	0,00	0,03	53,00	0,00	1,00	0,00	0,42	0,00
04/04/2023 16:23:05	00:01:02	1,00	0,00	0,00	0,00	0,03	54,00	0,00	1,00	0,00	0,43	0,00
04/04/2023 16:23:06	00:01:03	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	1,00	0,42	0,00
04/04/2023 16:23:07	00:01:04	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,43	0,00
04/04/2023 16:23:08	00:01:05	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,41	0,00
04/04/2023 16:23:09	00:01:06	1,00	0,00	0,00	0,00	0,03	53,00	0,00	1,00	0,00	0,42	0,00
04/04/2023 16:23:10	00:01:07	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,42	0,00
04/04/2023 16:23:11	00:01:08	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,51	0,00
04/04/2023 16:23:12	00:01:09	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,47	0,00
04/04/2023 16:23:13	00:01:10	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	1,00	0,42	0,00
04/04/2023 16:23:14	00:01:11	1,00	0,00	0,00	0,00	0,03	53,00	0,00	0,00	0,00	0,33	0,00
04/04/2023 16:23:15	00:01:12	1,00	0,00	0,00	0,00	0,03	54,00	0,00	1,00	0,00	0,29	0,00
04/04/2023 16:23:16	00:01:13	1,00	0,00	0,00	0,00	0,03	54,00	0,00	1,00	0,00	0,30	0,00
04/04/2023 16:23:17	00:01:14	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,28	0,00
