TimeStamp;B10200781A: Flow setpoint (ml/min);B10200781A: Flow (ml/min);B13200860A: Flow setpoint (ml/min);B13200860A: Flow (ml/min)
2025-01-17 15:26:01.444;1,1698002;1,8192716;2,0798001;1,9649584
2025-01-17 15:26:02.444;1,1698002;2,0388021;2,0798001;2,296618
2025-01-17 15:26:03.444;1,1698002;1,8019335;2,0798001;2,2542553
2025-01-17 15:26:04.444;1,1698002;1,682615;2,0798001;2,3314407
2025-01-17 15:26:05.444;1,1698002;1,4863856;2,0798001;2,1270418
2025-01-17 15:26:06.444;1,1698002;1,3422265;2,0798001;2,3392036
2025-01-17 15:26:07.444;1,1698002;1,1650785;2,0798001;2,3419318
2025-01-17 15:26:08.444;1,1698002;1,1258904;2,0798001;2,2847848
2025-01-17 15:26:09.444;1,1698002;1,1006145;2,0798001;2,3832755
2025-01-17 15:26:10.444;1,1698002;0,68556887;2,0798001;2,2944398
2025-01-17 15:26:11.444;1,1698002;0,5532036;2,0798001;2,3324027
2025-01-17 15:26:12.444;1,1698002;0,32880473;2,0798001;2,0089536
2025-01-17 15:26:13.444;1,1698002;0,44885352;2,0798001;2,365025
2025-01-17 15:26:14.444;1,1698002;0,48977292;2,0798001;2,275822
2025-01-17 15:26:15.444;1,1698002;0,43645424;2,0798001;2,0960627
2025-01-17 15:26:16.444;1,1698002;0,45026556;2,0798001;1,8587313
2025-01-17 15:26:17.444;1,1698002;0,45281705;2,0798001;2,0687184
2025-01-17 15:26:18.444;1,1698002;0,9157467;2,0798001;2,1885798
2025-01-17 15:26:19.444;1,1698002;1,3550836;2,0798001;1,9458785
2025-01-17 15:26:20.444;1,1698002;1,8874675;2,0798001;2,3398747
2025-01-17 15:26:21.444;1,1698002;1,9526236;2,0798001;2,1216004
2025-01-17 15:26:22.444;1,1698002;1,9039488;2,0798001;2,2035072
2025-01-17 15:26:23.444;1,1698002;1,7532629;2,0798001;2,0280776
2025-01-17 15:26:24.444;1,1698002;1,7375504;2,0798001;2,1695962
2025-01-17 15:26:25.444;1,1698002;1,8021743;2,0798001;2,2736702
2025-01-17 15:26:26.444;1,1698002;1,6256813;2,0798001;2,242306
2025-01-17 15:26:27.444;1,1698002;1,5228121;2,0798001;2,282867
2025-01-17 15:26:28.444;1,1698002;1,3502368;2,0798001;2,201688
2025-01-17 15:26:29.444;1,1698002;1,0759242;2,0798001;2,3018715
2025-01-17 15:26:30.444;1,1698002;0,9919831;2,0798001;2,1911225
2025-01-17 15:26:31.444;1,1698002;1,0508586;2,0798001;2,3670552
2025-01-17 15:26:32.444;1,1698002;0,89085954;2,0798001;2,3267303
2025-01-17 15:26:33.444;1,1698002;0,6143258;2,0798001;2,3120449
2025-01-17 15:26:34.444;1,1698002;0,49183872;2,0798001;2,2488837
2025-01-17 15:26:35.444;1,1698002;0,35421297;2,0798001;2,0748096
2025-01-17 15:26:36.444;1,1698002;0,56174564;2,0798001;2,297755
2025-01-17 15:26:37.444;1,1698002;0,5761028;2,0798001;2,1597817
2025-01-17 15:26:38.444;1,1698002;0,59877497;2,0798001;2,3498197
2025-01-17 15:26:39.444;1,1698002;0,52315193;2,0798001;1,9573052
2025-01-17 15:26:40.444;1,1698002;0,5660946;2,0798001;2,2488925
2025-01-17 15:26:41.444;1,1698002;0,7745628;2,0798001;2,1742346
2025-01-17 15:26:42.444;1,1698002;1,4380656;2,0798001;2,0864391
2025-01-17 15:26:43.444;1,1698002;2,0935764;2,0798001;2,2787726
2025-01-17 15:26:44.444;1,1698002;1,9997257;2,0798001;2,157763
2025-01-17 15:26:45.444;1,1698002;1,9536332;2,0798001;2,2114534
2025-01-17 15:26:46.444;1,1698002;1,7123078;2,0798001;1,9744098
2025-01-17 15:26:47.444;1,1698002;1,7705698;2,0798001;2,287721
2025-01-17 15:26:48.444;1,1698002;1,751924;2,0798001;2,2499106
2025-01-17 15:26:49.444;1,1698002;1,666001;2,0798001;2,284133
2025-01-17 15:26:50.444;1,1698002;1,5734801;2,0798001;2,0594506
2025-01-17 15:26:51.444;1,1698002;1,3248595;2,0798001;2,204977
2025-01-17 15:26:52.444;1,1698002;1,1652043;2,0798001;2,2573771
2025-01-17 15:26:53.444;1,1698002;1,0506257;2,0798001;2,100741
2025-01-17 15:26:54.444;1,1698002;1,1946633;2,0798001;2,3585367
2025-01-17 15:26:55.444;1,1698002;0,89801633;2,0798001;2,307315
2025-01-17 15:26:56.444;1,1698002;0,7434335;2,0798001;2,3156903
2025-01-17 15:26:57.444;1,1698002;0,5159189;2,0798001;2,026248
2025-01-17 15:26:58.444;1,1698002;0,76478875;2,0798001;2,2052333
2025-01-17 15:26:59.444;1,1698002;0,5977863;2,0798001;2,2565172
2025-01-17 15:27:00.444;1,1698002;0,5911465;2,0798001;2,176914
2025-01-17 15:27:01.444;1,1698002;0,70355964;2,0798001;2,3301575
2025-01-17 15:27:02.444;1,1698002;0,5202219;2,0798001;2,061988
2025-01-17 15:27:03.444;1,1698002;0,58174837;2,0798001;2,2454388
2025-01-17 15:27:04.444;1,1698002;0,65637076;2,0798001;1,9431212
2025-01-17 15:27:05.444;1,1698002;1,3909686;2,0798001;2,2048779
2025-01-17 15:27:06.444;1,1698002;1,8594187;2,0798001;2,2190206
