Date/Time	Elapsed Time	Pump 1 Flow (mL/min)	Pump 2 Flow (mL/min)	Pump 3 Flow (mL/min)	Pump 4 Flow (mL/min)	Coriolis Flow (mL/min)	Pump 1 Pressure (bar)	Pump 2 Pressure (bar)	Pump 3 Pressure (bar)	Pump 4 Pressure (bar)	UV detector 1 (mAU) 	UV detector 2 (mAU)
05/04/2023 11:10:02	00:00:42	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	0,21	0,00
05/04/2023 11:10:03	00:00:43	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	0,14	0,00
05/04/2023 11:10:04	00:00:44	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	0,20	0,00
05/04/2023 11:10:05	00:00:45	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,18	0,00
05/04/2023 11:10:06	00:00:46	1,00	0,00	0,00	0,00	0,03	55,00	1,00	1,00	0,00	0,19	0,00
05/04/2023 11:10:07	00:00:47	1,00	0,00	0,00	0,00	0,03	56,00	0,00	0,00	0,00	0,23	0,00
05/04/2023 11:10:08	00:00:48	1,00	0,00	0,00	0,00	0,03	56,00	0,00	0,00	0,00	0,21	0,00
05/04/2023 11:10:09	00:00:49	1,00	0,00	0,00	0,00	0,03	56,00	1,00	1,00	1,00	0,18	0,00
05/04/2023 11:10:10	00:00:50	1,00	0,00	0,00	0,00	0,03	53,00	0,00	1,00	1,00	0,22	0,00
05/04/2023 11:10:11	00:00:51	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,18	0,00
05/04/2023 11:10:12	00:00:52	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,20	0,00
05/04/2023 11:10:13	00:00:53	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	0,21	0,00
05/04/2023 11:10:14	00:00:54	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	0,20	0,00
05/04/2023 11:10:15	00:00:55	1,00	0,00	0,00	0,00	0,03	54,00	0,00	1,00	1,00	0,16	0,00
05/04/2023 11:10:16	00:00:56	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,23	0,00
05/04/2023 11:10:17	00:00:57	1,00	0,00	0,00	0,00	0,03	56,00	0,00	0,00	0,00	0,21	0,00
05/04/2023 11:10:18	00:00:58	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	0,19	0,00
05/04/2023 11:10:19	00:00:59	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	0,19	0,00
05/04/2023 11:10:20	00:01:00	1,00	0,00	0,00	0,00	0,03	53,00	0,00	1,00	0,00	0,18	0,00
05/04/2023 11:10:21	00:01:01	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,27	0,00
05/04/2023 11:10:22	00:01:02	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,23	0,00
05/04/2023 11:10:23	00:01:03	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	0,22	0,00
05/04/2023 11:10:24	00:01:04	1,00	0,00	0,00	0,00	0,03	56,00	0,00	0,00	0,00	0,23	0,00
05/04/2023 11:10:25	00:01:05	1,00	0,00	0,00	0,00	0,03	56,00	1,00	1,00	0,00	0,21	0,00
05/04/2023 11:10:26	00:01:06	1,00	0,00	0,00	0,00	0,03	52,00	1,00	1,00	0,00	0,23	0,00
05/04/2023 11:10:27	00:01:07	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	0,20	0,00
05/04/2023 11:10:28	00:01:08	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	-0,61	0,00
05/04/2023 11:10:29	00:01:09	1,00	0,00	0,00	0,00	0,03	56,00	0,00	0,00	0,00	-0,59	0,00
05/04/2023 11:10:30	00:01:10	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	-0,61	0,00
05/04/2023 11:10:31	00:01:11	1,00	0,00	0,00	0,00	0,03	52,00	1,00	1,00	0,00	-0,56	0,00
05/04/2023 11:10:32	00:01:12	1,00	0,00	0,00	0,00	0,03	53,00	1,00	1,00	0,00	-0,56	0,00
05/04/2023 11:10:33	00:01:13	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	-0,55	0,00
05/04/2023 11:10:34	00:01:14	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	-0,56	0,00
05/04/2023 11:10:35	00:01:15	1,00	0,00	0,00	0,00	0,03	56,00	0,00	0,00	0,00	-0,55	0,00
05/04/2023 11:10:36	00:01:16	1,00	0,00	0,00	0,00	0,03	52,00	0,00	1,00	1,00	-0,56	0,00
05/04/2023 11:10:37	00:01:17	1,00	0,00	0,00	0,00	0,03	54,00	1,00	0,00	0,00	-0,52	0,00
05/04/2023 11:10:38	00:01:18	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	-0,54	0,00
05/04/2023 11:10:39	00:01:19	1,00	0,00	0,00	0,00	0,03	56,00	1,00	1,00	0,00	-0,51	0,00
05/04/2023 11:10:40	00:01:20	1,00	0,00	0,00	0,00	0,03	56,00	1,00	0,00	0,00	-0,53	0,00
05/04/2023 11:10:41	00:01:21	1,00	0,00	0,00	0,00	0,03	56,00	1,00	1,00	1,00	-0,53	0,00
05/04/2023 11:10:42	00:01:22	1,00	0,00	0,00	0,00	0,03	53,00	0,00	0,00	0,00	-0,47	0,00
05/04/2023 11:10:43	00:01:23	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	-0,49	0,00
05/04/2023 11:10:44	00:01:24	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	-0,46	0,00
05/04/2023 11:10:45	00:01:25	1,00	0,00	0,00	0,00	0,03	56,00	1,00	1,00	0,00	-0,43	0,00
05/04/2023 11:10:46	00:01:26	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	-0,43	0,00
05/04/2023 11:10:47	00:01:27	1,00	0,00	0,00	0,00	0,03	56,00	0,00	0,00	0,00	-0,44	0,00
05/04/2023 11:10:48	00:01:28	1,00	0,00	0,00	0,00	0,03	53,00	0,00	0,00	0,00	-0,41	0,00
05/04/2023 11:10:49	00:01:29	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	-0,36	0,00
05/04/2023 11:10:50	00:01:30	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	-0,30	0,00
05/04/2023 11:10:51	00:01:31	1,00	0,00	0,00	0,00	0,03	56,00	0,00	0,00	0,00	-0,31	0,00
05/04/2023 11:10:52	00:01:32	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	-0,27	0,00
05/04/2023 11:10:53	00:01:33	1,00	0,00	0,00	0,00	0,03	53,00	0,00	1,00	0,00	-0,20	0,00
05/04/2023 11:10:54	00:01:34	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	-0,14	0,00
05/04/2023 11:10:55	00:01:35	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	0,00	-0,13	0,00
05/04/2023 11:10:56	00:01:36	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	-0,10	0,00
05/04/2023 11:10:57	00:01:37	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	-0,10	0,00
05/04/2023 11:10:58	00:01:38	1,00	0,00	0,00	0,00	0,03	52,00	0,00	1,00	0,00	-0,11	0,00
05/04/2023 11:10:59	00:01:39	1,00	0,00	0,00	0,00	0,03	55,00	0,00	0,00	0,00	-0,06	0,00
05/04/2023 11:11:00	00:01:40	1,00	0,00	0,00	0,00	0,03	55,00	0,00	1,00	1,00	0,13	0,00
05/04/2023 11:11:01	00:01:41	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	0,60	0,00
05/04/2023 11:11:02	00:01:42	1,00	0,00	0,00	0,00	0,03	56,00	0,00	1,00	0,00	1,29	0,00
